County,State,2010,2011,2012,2013,2014,2015,2016
Blanco,Texas,"10,498","10,567","10,616","10,636","10,805","11,029","11,301"
Borden,Texas,646,632,613,646,665,655,657
Bosque,Texas,"18,269","18,259","18,126","17,863","17,716","17,864","18,009"
Bowie,Texas,"92,638","92,808","93,030","93,374","93,268","93,050","93,424"
Brazoria,Texas,"314,428","319,147","324,224","329,890","337,570","345,227","353,155"
Brazos,Texas,"195,666","197,450","200,260","204,116","208,975","216,258","219,739"
Brewster,Texas,"9,258","9,349","9,259","9,287","9,150","9,143","9,211"
Briscoe,Texas,"1,633","1,659","1,576","1,562","1,552","1,514","1,483"
Brooks,Texas,"7,208","7,216","7,196","7,259","7,228","7,190","7,190"
Brown,Texas,"38,076","38,000","37,808","37,671","37,553","37,736","38,039"
Burleson,Texas,"17,237","17,328","17,433","17,269","17,387","17,611","17,848"
Burnet,Texas,"42,762","43,216","43,377","43,580","43,954","44,734","45,817"
Caldwell,Texas,"38,127","38,470","38,682","39,201","39,703","40,419","41,147"
Calhoun,Texas,"21,313","21,359","21,575","21,729","21,812","21,887","21,948"
Callahan,Texas,"13,512","13,511","13,488","13,502","13,505","13,589","13,789"
Cameron,Texas,"407,630","413,201","415,877","417,357","419,005","419,450","421,350"
Camp,Texas,"12,398","12,422","12,487","12,462","12,657","12,699","12,771"
Carson,Texas,"6,162","6,238","6,089","5,988","6,036","6,013","6,096"
Cass,Texas,"30,457","30,281","30,031","30,237","30,123","30,140","30,058"
Castro,Texas,"8,126","8,094","8,262","8,120","7,927","7,787","7,765"
Chambers,Texas,"35,456","35,699","36,508","37,367","38,296","39,028","40,163"
Cherokee,Texas,"50,941","51,090","51,277","51,093","51,189","51,568","51,879"
Childress,Texas,"7,070","7,027","7,100","7,055","7,196","7,169","7,204"
Clay,Texas,"10,737","10,668","10,523","10,455","10,377","10,359","10,251"
Cochran,Texas,"3,147","3,082","3,028","3,009","2,945","2,977","2,921"
Coke,Texas,"3,319","3,266","3,202","3,180","3,217","3,227","3,259"
Coleman,Texas,"8,870","8,743","8,667","8,526","8,416","8,316","8,412"
Collin,Texas,"787,614","812,540","835,230","856,398","884,688","915,243","943,742"
Collingsworth,Texas,"3,054","3,085","3,024","3,100","3,016","3,010","3,007"
Colorado,Texas,"20,872","20,806","20,724","20,717","20,696","20,951","21,081"
Comal,Texas,"109,306","112,113","114,873","118,627","123,214","128,795","134,343"
Comanche,Texas,"13,953","13,867","13,723","13,554","13,472","13,395","13,543"
Concho,Texas,"4,102","4,124","4,085","4,122","4,089","4,072","4,140"
Cooke,Texas,"38,472","38,443","38,717","38,456","38,764","39,170","39,343"
Coryell,Texas,"75,651","76,625","78,458","76,761","76,166","76,145","74,803"
Cottle,Texas,"1,512","1,507","1,485","1,442","1,429","1,439","1,402"
Crane,Texas,"4,382","4,358","4,525","4,718","4,897","4,995","4,779"
Crockett,Texas,"3,701","3,652","3,705","3,763","3,790","3,735","3,642"
Crosby,Texas,"6,026","6,044","6,036","5,924","5,825","5,918","5,911"
Culberson,Texas,"2,403","2,393","2,316","2,306","2,282","2,254","2,220"
Dallam,Texas,"6,747","6,888","7,059","7,110","7,214","7,301","7,357"
Dallas,Texas,"2,372,993","2,408,697","2,455,930","2,484,486","2,519,410","2,557,830","2,591,488"
Dawson,Texas,"13,826","13,747","13,611","13,219","13,445","12,987","12,999"
Deaf Smith,Texas,"19,467","19,522","19,373","19,180","19,123","18,825","18,846"
Delta,Texas,"5,242","5,147","5,242","5,120","5,142","5,159","5,147"
Denton,Texas,"666,760","685,740","707,892","728,624","753,188","779,584","808,212"
DeWitt,Texas,"20,054","20,205","20,358","20,377","20,518","20,632","20,623"
Dickens,Texas,"2,447","2,401","2,322","2,297","2,215","2,204","2,193"
Dimmit,Texas,"10,043","10,109","10,471","10,894","10,987","10,910","10,679"
Donley,Texas,"3,734","3,686","3,645","3,561","3,483","3,391","3,387"
Duval,Texas,"11,724","11,796","11,582","11,581","11,509","11,336","11,431"
Eastland,Texas,"18,594","18,582","18,459","18,279","18,257","18,152","18,240"
Ector,Texas,"137,075","139,642","144,495","149,656","154,588","159,903","157,858"
Edwards,Texas,"1,999","1,979","1,990","1,899","1,904","1,910","1,908"
Ellis,Texas,"150,367","152,373","153,739","155,928","159,204","163,292","168,332"
El Paso,Texas,"803,576","819,896","832,310","830,864","833,783","831,898","834,949"
Erath,Texas,"37,912","38,922","39,405","39,886","40,514","41,191","41,372"
Falls,Texas,"17,891","17,848","17,570","17,242","17,210","17,216","17,276"
Fannin,Texas,"33,920","33,878","33,601","33,510","33,593","33,502","33,933"
Fayette,Texas,"24,556","24,749","24,661","24,721","24,782","24,945","25,018"
Fisher,Texas,"3,959","3,947","3,838","3,859","3,874","3,877","3,877"
Floyd,Texas,"6,403","6,368","6,348","6,245","5,947","5,843","5,847"
Foard,Texas,"1,344","1,361","1,310","1,286","1,275","1,225","1,200"
Fort Bend,Texas,"590,253","606,064","624,824","651,847","684,048","715,331","744,160"
Franklin,Texas,"10,607","10,562","10,637","10,615","10,563","10,603","10,677"
Freestone,Texas,"19,803","19,602","19,484","19,597","19,677","19,746","19,669"
Frio,Texas,"17,256","17,492","17,931","18,400","18,938","19,361","19,584"
Gaines,Texas,"17,588","17,908","18,307","18,807","19,335","20,217","20,446"
Galveston,Texas,"292,484","295,605","301,049","306,589","313,367","320,974","328,820"
Garza,Texas,"6,467","6,560","6,418","6,371","6,417","6,391","6,212"
Gillespie,Texas,"24,874","25,039","25,175","25,363","25,473","25,916","26,206"
Glasscock,Texas,"1,232","1,238","1,280","1,271","1,328","1,380","1,365"
Goliad,Texas,"7,219","7,208","7,331","7,452","7,506","7,513","7,512"
Gonzales,Texas,"19,797","19,755","19,930","20,143","20,347","20,510","20,787"
Gray,Texas,"22,470","22,661","22,920","22,996","23,432","23,265","22,741"
Grayson,Texas,"121,034","121,430","121,854","122,362","123,599","125,628","128,291"
Gregg,Texas,"121,984","122,656","123,089","123,233","123,146","123,800","123,367"
Grimes,Texas,"26,616","26,655","26,679","26,792","26,997","27,299","27,494"
Guadalupe,Texas,"132,587","135,809","139,641","142,881","146,811","150,578","154,492"
Hale,Texas,"36,269","36,381","36,258","35,676","34,451","34,034","34,107"
Hall,Texas,"3,359","3,312","3,268","3,164","3,075","3,094","3,113"
Hamilton,Texas,"8,465","8,389","8,249","8,241","8,160","8,080","8,237"
Hansford,Texas,"5,599","5,580","5,534","5,547","5,561","5,654","5,592"
Hardeman,Texas,"4,159","4,159","4,097","4,065","3,990","3,920","3,982"
Hardin,Texas,"54,784","55,070","55,122","55,305","55,510","55,758","56,242"
Harris,Texas,"4,107,666","4,179,568","4,263,094","4,353,187","4,455,994","4,557,846","4,623,960"
Harrison,Texas,"65,765","66,338","66,256","66,267","66,581","66,685","66,611"
Hartley,Texas,"6,064","6,031","6,090","5,999","6,055","5,702","5,740"
Haskell,Texas,"5,879","5,959","5,885","5,901","5,811","5,821","5,751"
Hays,Texas,"158,214","163,270","168,519","176,035","184,854","194,662","204,546"
Hemphill,Texas,"3,795","3,956","4,093","4,153","4,165","4,277","4,101"
Henderson,Texas,"78,665","78,837","78,992","78,669","79,324","79,492","80,062"
Hidalgo,Texas,"779,149","795,517","808,334","818,619","829,819","839,667","848,960"
Hill,Texas,"35,144","35,200","35,157","34,851","34,767","34,828","35,102"
Hockley,Texas,"22,853","22,931","23,074","23,408","23,463","23,310","23,043"
Hood,Texas,"51,268","51,563","52,129","52,860","53,812","55,227","56,569"
Hopkins,Texas,"35,208","35,259","35,312","35,299","35,686","35,973","36,184"
Houston,Texas,"23,682","23,434","23,213","22,809","22,809","22,747","22,897"
Howard,Texas,"34,993","34,990","35,495","36,185","36,542","37,123","36,214"
Hudspeth,Texas,"3,472","3,412","3,357","3,339","3,306","3,541","4,254"
Hunt,Texas,"86,365","86,687","86,979","87,429","88,639","89,670","91,895"
Hutchinson,Texas,"22,214","22,024","22,022","21,921","21,915","21,793","21,528"
Irion,Texas,"1,607","1,592","1,573","1,610","1,574","1,543","1,562"
Jack,Texas,"9,004","9,030","8,992","8,951","8,880","8,883","8,789"
Jackson,Texas,"14,091","14,048","14,271","14,610","14,723","14,808","14,873"
Jasper,Texas,"35,777","36,204","35,854","35,617","35,424","35,266","35,417"
Jeff Davis,Texas,"2,344","2,282","2,296","2,231","2,217","2,199","2,231"
Jefferson,Texas,"252,455","253,494","251,605","253,079","252,897","255,112","255,748"
Jim Hogg,Texas,"5,287","5,289","5,277","5,263","5,328","5,296","5,257"
Jim Wells,Texas,"40,894","41,224","41,651","41,681","41,504","41,523","41,181"
Johnson,Texas,"151,264","152,094","153,415","154,535","156,733","159,345","162,763"
Jones,Texas,"20,238","20,270","19,870","20,044","19,850","19,966","19,971"
Karnes,Texas,"14,889","14,959","14,859","14,727","14,910","15,413","15,494"
Kaufman,Texas,"103,872","105,199","106,553","108,248","110,872","114,055","117,904"
Kendall,Texas,"33,589","34,421","35,551","37,133","38,363","39,938","41,903"
Kenedy,Texas,417,438,447,438,437,441,436
Kent,Texas,812,813,825,782,748,747,748
Kerr,Texas,"49,643","49,641","49,719","49,787","50,343","50,880","51,426"
Kimble,Texas,"4,601","4,594","4,525","4,461","4,464","4,391","4,413"
King,Texas,288,258,270,273,263,282,292
Kinney,Texas,"3,590","3,607","3,639","3,632","3,554","3,589","3,636"
Kleberg,Texas,"32,037","32,029","32,097","32,021","31,891","31,413","31,304"
Knox,Texas,"3,723","3,722","3,730","3,722","3,801","3,792","3,732"
Lamar,Texas,"49,820","49,861","49,656","49,092","49,411","49,373","49,528"
Lamb,Texas,"13,993","14,059","13,863","13,663","13,484","13,259","13,195"
Lampasas,Texas,"19,762","19,924","20,054","20,142","20,106","20,362","20,524"
La Salle,Texas,"6,913","7,002","7,157","7,444","7,481","7,637","7,596"
Lavaca,Texas,"19,256","19,311","19,528","19,631","19,779","19,919","19,891"
Lee,Texas,"16,591","16,556","16,505","16,545","16,621","16,868","16,975"
Leon,Texas,"16,723","16,829","16,741","16,620","16,730","17,028","17,200"
Liberty,Texas,"75,859","75,990","76,370","76,849","78,045","79,537","81,354"
Limestone,Texas,"23,492","23,591","23,686","23,440","23,529","23,442","23,472"
Lipscomb,Texas,"3,283","3,334","3,447","3,490","3,553","3,559","3,494"
Live Oak,Texas,"11,556","11,507","11,655","11,817","12,057","12,173","12,023"
Llano,Texas,"19,336","19,073","19,266","19,509","19,666","20,081","20,592"
Loving,Texas,84,95,86,106,89,119,117
Lubbock,Texas,"280,301","283,408","285,961","289,515","294,433","298,337","302,094"
Lynn,Texas,"5,914","5,886","5,796","5,728","5,798","5,746","5,775"
McCulloch,Texas,"8,231","8,254","8,241","8,243","8,152","8,255","8,124"
McLennan,Texas,"235,917","237,852","239,368","241,443","243,166","245,444","247,553"
McMullen,Texas,711,697,730,760,799,828,806
Madison,Texas,"13,739","13,753","13,746","13,820","13,871","13,968","14,120"
Marion,Texas,"10,485","10,475","10,374","10,277","10,149","10,136","10,125"
Martin,Texas,"4,809","4,884","4,980","5,272","5,462","5,646","5,616"
Mason,Texas,"4,010","4,033","4,056","4,120","4,095","4,057","4,161"
Matagorda,Texas,"36,709","36,681","36,544","36,500","36,478","36,766","37,088"
Maverick,Texas,"54,432","55,260","55,765","56,532","57,115","57,720","58,041"
Medina,Texas,"46,114","46,507","46,796","47,238","47,830","48,402","49,254"
Menard,Texas,"2,230","2,214","2,204","2,137","2,128","2,134","2,091"
Midland,Texas,"136,974","140,224","147,332","152,356","156,725","162,328","163,850"
Milam,Texas,"24,681","24,607","24,114","24,090","24,143","24,362","24,680"
Mills,Texas,"4,968","4,883","4,832","4,872","4,872","4,889","4,884"
Mitchell,Texas,"9,412","9,396","9,329","8,999","9,070","8,856","8,474"
Montague,Texas,"19,718","19,759","19,477","19,387","19,365","19,252","19,390"
Montgomery,Texas,"459,208","471,415","484,565","498,392","517,146","535,753","555,216"
Moore,Texas,"22,005","22,070","22,430","22,146","21,986","21,725","21,641"
Morris,Texas,"12,919","12,770","12,703","12,680","12,606","12,370","12,429"
Motley,Texas,"1,205","1,200","1,197","1,192","1,149","1,146","1,170"
Nacogdoches,Texas,"64,685","65,655","65,866","65,193","65,240","65,462","65,549"
Navarro,Texas,"47,869","48,074","48,163","48,036","47,913","48,181","48,405"
Newton,Texas,"14,448","14,563","14,434","14,341","14,292","14,158","14,160"
Nolan,Texas,"15,244","15,143","14,932","15,068","15,126","15,111","15,044"
Nueces,Texas,"340,245","343,263","347,939","352,946","356,657","360,504","361,642"
Ochiltree,Texas,"10,171","10,444","10,612","10,704","10,715","10,698","10,257"
Oldham,Texas,"2,050","2,072","2,046","2,088","2,069","2,064","2,074"
Orange,Texas,"82,012","82,341","82,887","82,811","83,244","83,955","84,549"
Palo Pinto,Texas,"28,095","28,062","27,867","27,886","28,041","27,966","28,125"
Panola,Texas,"23,772","24,007","24,001","23,790","23,750","23,667","23,419"
Parker,Texas,"117,316","118,320","119,482","119,785","122,147","125,640","128,967"
Parmer,Texas,"10,265","10,276","10,184","9,986","9,952","9,794","9,762"
Pecos,Texas,"15,523","15,643","15,568","15,660","15,828","16,030","15,881"
Polk,Texas,"45,446","45,580","45,510","45,522","45,813","46,613","47,656"
Potter,Texas,"121,371","122,305","122,739","122,127","122,061","121,272","120,632"
Presidio,Texas,"7,875","7,754","7,619","7,386","7,194","7,057","7,156"
Rains,Texas,"10,913","11,003","10,939","11,033","11,013","11,136","11,304"
Randall,Texas,"121,179","123,424","124,975","126,753","128,733","130,368","132,342"
Reagan,Texas,"3,353","3,393","3,477","3,633","3,785","3,807","3,726"
Real,Texas,"3,322","3,431","3,352","3,318","3,347","3,297","3,399"
Red River,Texas,"12,874","12,682","12,723","12,487","12,445","12,345","12,179"
Reeves,Texas,"13,834","14,098","14,265","14,494","15,124","15,574","15,229"
Refugio,Texas,"7,375","7,321","7,256","7,279","7,362","7,326","7,272"
Roberts,Texas,924,926,942,919,914,910,910
Robertson,Texas,"16,555","16,657","16,455","16,431","16,468","16,698","16,804"
Rockwall,Texas,"78,919","81,045","82,710","84,670","87,064","90,170","93,421"
Runnels,Texas,"10,508","10,500","10,335","10,196","10,294","10,387","10,276"
Rusk,Texas,"53,361","53,702","53,793","53,332","53,212","52,965","52,892"
Sabine,Texas,"10,871","10,727","10,524","10,424","10,428","10,440","10,381"
San Augustine,Texas,"8,854","8,799","8,789","8,663","8,481","8,349","8,288"
San Jacinto,Texas,"26,474","26,780","26,942","26,731","27,049","27,361","27,732"
San Patricio,Texas,"64,431","64,458","65,260","66,134","66,656","67,117","67,311"
San Saba,Texas,"6,134","6,047","5,990","5,960","5,858","5,922","5,922"
Schleicher,Texas,"3,503","3,310","3,259","3,191","3,164","3,195","3,057"
Scurry,Texas,"16,928","16,868","17,125","17,272","17,377","17,570","17,394"
Shackelford,Texas,"3,383","3,334","3,361","3,375","3,316","3,333","3,337"
Shelby,Texas,"25,458","25,733","26,062","25,977","25,607","25,373","25,566"
Sherman,Texas,"3,025","3,014","3,039","3,070","3,065","3,058","3,070"
Smith,Texas,"210,408","212,764","214,811","216,475","219,642","222,390","225,161"
Somervell,Texas,"8,500","8,426","8,554","8,566","8,559","8,618","8,671"
Starr,Texas,"61,134","61,642","61,970","62,381","62,965","63,484","63,894"
Stephens,Texas,"9,620","9,536","9,614","9,371","9,342","9,385","9,377"
Sterling,Texas,"1,137","1,170","1,191","1,229","1,340","1,333","1,339"
Stonewall,Texas,"1,496","1,463","1,452","1,418","1,388","1,398","1,401"
Sutton,Texas,"4,062","3,987","3,916","3,982","3,969","3,915","3,886"
Swisher,Texas,"7,918","7,804","7,845","7,720","7,554","7,477","7,428"
Tarrant,Texas,"1,817,480","1,847,882","1,882,205","1,912,767","1,946,122","1,984,880","2,023,556"
Taylor,Texas,"131,835","132,853","134,084","133,927","134,987","136,133","136,257"
Terrell,Texas,"1,011",950,921,891,910,867,818
Terry,Texas,"12,682","12,661","12,632","12,713","12,795","12,759","12,770"
Throckmorton,Texas,"1,639","1,637","1,610","1,606","1,613","1,559","1,537"
Titus,Texas,"32,419","32,452","32,612","32,587","32,502","32,626","32,463"
Tom Green,Texas,"110,678","111,751","113,307","114,680","116,319","117,514","117,634"
Travis,Texas,"1,030,503","1,061,709","1,096,886","1,122,248","1,152,260","1,179,805","1,206,110"
Trinity,Texas,"14,729","14,686","14,372","14,445","14,298","14,539","14,543"
Tyler,Texas,"21,764","21,674","21,504","21,508","21,468","21,370","21,423"
Upshur,Texas,"39,377","39,731","39,918","39,757","40,280","40,317","40,771"
Upton,Texas,"3,338","3,284","3,263","3,386","3,482","3,652","3,690"
Uvalde,Texas,"26,443","26,588","26,746","26,904","27,022","26,949","27,081"
Val Verde,Texas,"48,971","48,972","48,976","49,044","48,845","48,891","48,911"
Van Zandt,Texas,"52,579","52,487","52,207","52,328","52,781","53,430","54,367"
Victoria,Texas,"86,883","87,557","89,116","90,066","91,042","92,136","92,402"
Walker,Texas,"68,241","68,409","68,609","69,404","70,076","70,836","71,845"
Waller,Texas,"43,519","44,101","44,335","45,408","46,765","48,641","50,046"
Ward,Texas,"10,594","10,671","10,823","11,205","11,571","11,631","11,571"
Washington,Texas,"33,708","33,966","33,930","34,201","34,403","34,836","34,740"
Webb,Texas,"251,370","255,935","260,595","264,430","267,465","269,865","272,301"
Wharton,Texas,"41,281","41,287","41,136","41,122","41,095","41,383","41,609"
Wheeler,Texas,"5,387","5,446","5,589","5,716","5,696","5,658","5,518"
Wichita,Texas,"131,794","130,803","131,701","132,192","132,646","130,961","131,295"
Wilbarger,Texas,"13,509","13,452","13,289","13,204","12,988","13,055","12,880"
Willacy,Texas,"22,225","22,167","22,208","22,019","21,935","21,863","21,761"
Williamson,Texas,"426,287","442,031","455,750","470,017","487,913","507,133","527,622"
Wilson,Texas,"43,051","43,667","44,353","45,217","46,145","47,178","48,212"
Winkler,Texas,"7,085","7,165","7,371","7,635","7,819","8,027","7,915"
Wise,Texas,"59,115","59,967","60,424","61,019","61,702","62,857","64,478"
Wood,Texas,"41,977","42,092","42,383","42,346","42,764","43,117","43,753"
Yoakum,Texas,"7,851","7,971","8,055","8,222","8,398","8,644","8,652"
Young,Texas,"18,522","18,355","18,278","18,354","18,274","18,163","18,098"
Zapata,Texas,"14,087","14,227","14,276","14,385","14,376","14,493","14,446"
Zavala,Texas,"11,729","11,875","12,014","12,195","12,243","12,310","12,121"
Beaver,Utah,"6,655","6,559","6,500","6,457","6,432","6,353","6,478"
Box Elder,Utah,"50,175","50,239","50,201","50,727","51,300","51,826","52,975"
Cache,Utah,"113,386","114,781","115,895","117,025","117,894","119,697","122,201"
Carbon,Utah,"21,403","21,305","21,222","20,903","20,636","20,391","20,324"
Daggett,Utah,"1,077","1,162","1,095","1,140","1,124","1,107","1,076"
Davis,Utah,"307,910","311,852","315,926","322,228","328,714","334,597","341,000"
Duchesne,Utah,"18,647","18,700","19,000","19,960","20,199","20,748","20,242"
Emery,Utah,"11,005","10,985","10,939","10,759","10,638","10,359","10,206"
Garfield,Utah,"5,197","5,149","5,063","5,029","5,005","4,962","4,952"
Grand,Utah,"9,312","9,298","9,358","9,376","9,481","9,551","9,622"
Iron,Utah,"46,263","46,622","46,646","46,530","47,041","48,113","49,676"
Juab,Utah,"10,264","10,313","10,295","10,261","10,410","10,551","11,016"
Kane,Utah,"7,213","7,295","7,173","7,124","7,167","7,039","7,297"
Millard,Utah,"12,541","12,570","12,468","12,555","12,538","12,620","12,655"
Morgan,Utah,"9,522","9,653","9,807","10,207","10,601","11,039","11,370"
Piute,Utah,"1,565","1,499","1,497","1,488","1,467","1,491","1,459"
Rich,Utah,"2,254","2,294","2,257","2,263","2,273","2,300","2,313"
Salt Lake,Utah,"1,032,976","1,047,610","1,063,956","1,079,392","1,090,005","1,102,273","1,120,109"
San Juan,Utah,"14,824","14,839","15,037","14,988","15,058","15,239","15,329"
Sanpete,Utah,"27,940","28,003","27,961","28,128","28,297","28,654","29,232"
Sevier,Utah,"20,798","20,870","20,658","20,747","20,735","20,858","21,131"
Summit,Utah,"36,500","37,421","37,864","38,420","39,113","39,640","40,512"
Tooele,Utah,"58,502","59,190","59,792","60,633","61,442","62,639","64,612"
Uintah,Utah,"32,467","33,241","34,641","35,682","36,918","37,791","36,264"
Utah,Utah,"519,998","530,688","539,685","551,273","560,649","572,667","590,288"
Wasatch,Utah,"23,644","24,408","25,344","26,584","27,814","29,118","30,375"
Washington,Utah,"138,389","141,249","144,139","146,987","151,081","154,650","159,352"
Wayne,Utah,"2,772","2,742","2,705","2,712","2,695","2,690","2,671"
Weber,Utah,"232,133","233,847","236,251","238,062","240,152","242,872","247,131"
Addison,Vermont,"36,823","36,969","36,899","36,934","36,932","36,929","36,931"
Bennington,Vermont,"37,078","36,813","36,610","36,534","36,167","36,153","35,911"
Caledonia,Vermont,"31,166","31,111","31,025","31,044","30,873","30,645","30,154"
Chittenden,Vermont,"156,769","158,033","158,673","159,432","159,945","161,293","161,563"
Essex,Vermont,"6,312","6,324","6,224","6,193","6,154","6,193","6,224"
Franklin,Vermont,"47,821","48,228","48,317","48,407","48,763","48,988","48,963"
Grand Isle,Vermont,"6,948","6,974","6,972","6,988","6,968","6,871","6,921"
Lamoille,Vermont,"24,515","24,707","24,945","25,111","25,130","25,240","25,331"
Orange,Vermont,"28,944","29,018","28,916","28,848","28,875","28,887","28,908"
Orleans,Vermont,"27,245","27,195","27,165","27,135","27,024","27,034","26,766"
Rutland,Vermont,"61,586","61,235","60,803","60,488","60,039","59,544","59,122"
Washington,Vermont,"59,570","59,591","59,407","59,218","58,961","58,652","58,355"
Windham,Vermont,"44,502","44,239","43,996","43,885","43,656","43,246","43,163"
Windsor,Vermont,"56,600","56,612","56,138","55,993","55,727","55,541","55,345"
Accomack,Virginia,"33,148","33,225","33,268","32,969","32,971","32,914","32,871"
Albemarle,Virginia,"99,204","100,213","101,464","102,270","103,732","105,117","106,431"
Alleghany,Virginia,"16,203","16,163","16,034","15,923","15,605","15,425","15,387"
Amelia,Virginia,"12,746","12,752","12,745","12,656","12,713","12,784","12,801"
Amherst,Virginia,"32,387","32,154","32,630","32,317","32,158","31,836","31,887"
Appomattox,Virginia,"15,098","15,109","15,246","15,320","15,348","15,492","15,528"
Arlington,Virginia,"209,295","215,990","221,454","224,894","225,980","228,548","231,259"
Augusta,Virginia,"73,584","73,648","73,588","73,842","73,881","74,292","74,834"
Bath,Virginia,"4,721","4,655","4,642","4,592","4,535","4,460","4,409"
Bedford,Virginia,"75,035","75,554","75,750","76,177","77,034","77,629","77,993"
Bland,Virginia,"6,799","6,773","6,692","6,673","6,583","6,532","6,472"
Botetourt,Virginia,"33,199","33,005","33,123","32,994","33,080","33,380","33,252"
Brunswick,Virginia,"17,402","17,127","17,032","16,984","16,825","16,845","16,618"
Buchanan,Virginia,"24,084","23,824","23,822","23,625","23,152","22,752","22,212"
Buckingham,Virginia,"17,091","17,213","17,068","17,150","16,931","17,017","17,051"
Campbell,Virginia,"54,901","54,789","54,830","55,078","55,272","55,356","55,419"
Caroline,Virginia,"28,635","28,672","28,949","29,248","29,741","29,900","30,099"
Carroll,Virginia,"30,071","30,092","29,916","29,909","29,711","29,870","29,789"
Charles City,Virginia,"7,259","7,205","7,126","7,072","6,978","7,046","7,034"
Charlotte,Virginia,"12,568","12,499","12,401","12,279","12,175","12,179","12,119"
Chesterfield,Virginia,"317,198","320,307","323,880","327,612","332,093","334,915","338,479"
Clarke,Virginia,"14,012","14,190","14,245","14,253","14,315","14,239","14,294"
Craig,Virginia,"5,198","5,169","5,138","5,138","5,176","5,136","5,120"
Culpeper,Virginia,"46,838","47,345","47,844","48,606","49,237","49,551","50,319"
Cumberland,Virginia,"10,028","9,985","9,841","9,848","9,839","9,756","9,745"
Dickenson,Virginia,"15,847","15,779","15,707","15,526","15,344","15,201","15,014"
Dinwiddie,Virginia,"28,063","28,119","28,223","28,084","28,094","28,148","28,468"
Essex,Virginia,"11,146","11,169","11,135","11,161","11,071","11,096","11,077"
Fairfax,Virginia,"1,086,155","1,103,439","1,120,395","1,131,784","1,136,271","1,140,401","1,144,188"
Fauquier,Virginia,"65,440","66,032","66,561","67,139","68,116","68,423","68,805"
Floyd,Virginia,"15,365","15,400","15,431","15,482","15,526","15,548","15,677"
Fluvanna,Virginia,"25,791","25,956","25,883","25,825","25,969","26,133","26,187"
Franklin,Virginia,"56,176","56,337","56,290","56,269","56,258","56,227","56,158"
Frederick,Virginia,"78,550","79,512","80,229","81,474","82,714","83,493","84,638"
Giles,Virginia,"17,316","17,151","17,022","16,988","16,849","16,762","16,827"
Gloucester,Virginia,"36,940","36,889","36,838","36,768","37,024","37,010","37,114"
Goochland,Virginia,"21,744","21,374","21,273","21,565","21,849","22,165","22,485"
Grayson,Virginia,"15,497","15,366","15,143","15,128","15,922","15,959","15,867"
Greene,Virginia,"18,457","18,667","18,803","18,848","19,105","19,183","19,309"
Greensville,Virginia,"12,234","12,001","11,745","11,689","11,564","11,786","11,500"
Halifax,Virginia,"36,206","36,000","35,738","35,386","35,204","35,103","34,990"
Hanover,Virginia,"99,902","99,908","100,339","101,065","101,724","103,071","104,290"
Henrico,Virginia,"307,253","310,430","315,587","318,640","321,835","324,375","325,931"
Henry,Virginia,"54,135","53,552","53,112","52,748","52,237","51,940","51,645"
Highland,Virginia,"2,297","2,260","2,234","2,205","2,238","2,196","2,210"
Isle of Wight,Virginia,"35,316","35,296","35,343","35,526","35,865","36,159","36,326"
James City,Virginia,"67,661","68,297","69,409","70,612","72,064","72,819","73,930"
King and Queen,Virginia,"6,976","6,987","7,009","7,029","7,082","7,085","7,054"
King George,Virginia,"23,696","24,273","24,606","24,897","25,260","25,414","25,947"
King William,Virginia,"15,999","16,014","15,977","16,092","16,149","16,282","16,405"
Lancaster,Virginia,"11,362","11,275","11,125","10,959","10,861","10,825","10,771"
Lee,Virginia,"25,605","25,544","25,428","25,080","24,724","24,595","24,165"
Loudoun,Virginia,"315,478","326,327","337,847","349,915","362,206","374,014","385,546"
Louisa,Virginia,"33,309","33,465","33,494","33,987","34,310","34,611","35,304"
Lunenburg,Virginia,"12,910","12,911","12,638","12,532","12,482","12,348","12,319"
Madison,Virginia,"13,300","13,141","13,132","13,090","13,030","13,047","13,081"
Mathews,Virginia,"8,974","8,944","8,911","8,898","8,813","8,834","8,769"
Mecklenburg,Virginia,"32,708","32,560","31,686","31,239","31,104","30,922","30,813"
Middlesex,Virginia,"10,980","10,854","10,850","10,781","10,657","10,686","10,749"
Montgomery,Virginia,"94,557","94,737","95,652","96,589","97,107","97,317","98,172"
Nelson,Virginia,"14,978","15,020","14,802","14,800","14,863","14,760","14,805"
New Kent,Virginia,"18,543","18,764","19,149","19,516","20,019","20,377","21,009"
Northampton,Virginia,"12,409","12,408","12,212","12,030","12,038","12,080","12,002"
Northumberland,Virginia,"12,355","12,451","12,422","12,298","12,256","12,241","12,176"
Nottoway,Virginia,"15,840","15,894","15,756","15,637","15,511","15,606","15,495"
Orange,Virginia,"33,578","33,994","34,275","34,620","34,923","35,178","35,354"
Page,Virginia,"24,065","23,957","23,841","23,723","23,784","23,662","23,619"
Patrick,Virginia,"18,470","18,335","18,333","18,249","18,175","17,960","17,796"
Pittsylvania,Virginia,"63,586","63,262","62,895","62,554","62,371","62,010","61,704"
Powhatan,Virginia,"28,125","28,129","28,178","28,300","28,496","28,056","28,443"
Prince Edward,Virginia,"23,359","22,318","23,172","22,714","22,975","23,120","23,020"
Prince George,Virginia,"35,642","36,716","37,123","37,333","37,415","38,246","37,972"
Prince William,Virginia,"406,169","419,094","429,616","437,735","443,782","450,978","456,496"
Pulaski,Virginia,"34,828","34,740","34,732","34,546","34,340","34,351","34,249"
