Location,total_votes,2000_republican_votes,2000_democrat_votes
"Georgia, Baker",1519,615.0,893.0
"Georgia, Baldwin",12126,6041.0,5893.0
"Georgia, Banks",4533,3202.0,1220.0
"Georgia, Barrow",12102,7925.0,3657.0
"Georgia, Bartow",22781,14720.0,7508.0
"Georgia, Ben Hill",4661,2381.0,2234.0
"Georgia, Berrien",4410,2718.0,1640.0
"Georgia, Bibb",49776,24071.0,24996.0
"Georgia, Bleckley",3749,2436.0,1273.0
"Georgia, Brantley",4566,3118.0,1372.0
"Georgia, Brooks",4551,2406.0,2096.0
"Georgia, Bryan",7059,4835.0,2172.0
"Georgia, Bulloch",14782,8990.0,5561.0
"Georgia, Burke",7135,3381.0,3720.0
"Georgia, Butts",5635,3198.0,2281.0
"Georgia, Calhoun",1887,768.0,1107.0
"Georgia, Camden",10119,6371.0,3636.0
"Georgia, Candler",2722,1643.0,1053.0
"Georgia, Carroll",25741,16326.0,8752.0
"Georgia, Catoosa",17721,12033.0,5470.0
"Georgia, Charlton",2816,1770.0,1015.0
"Georgia, Chatham",76475,37847.0,37590.0
"Georgia, Chattahoochee",1207,590.0,600.0
"Georgia, Chattooga",6477,3640.0,2729.0
"Georgia, Cherokee",52348,38033.0,12295.0
"Georgia, Clarke",28904,11850.0,15167.0
"Georgia, Clay",1277,448.0,821.0
"Georgia, Clayton",61402,19966.0,40042.0
"Georgia, Clinch",1929,1091.0,816.0
"Georgia, Cobb",235027,140494.0,86676.0
"Georgia, Coffee",9430,5756.0,3593.0
"Georgia, Colquitt",9972,6589.0,3297.0
"Georgia, Columbia",36008,26660.0,8969.0
"Georgia, Cook",3944,2279.0,1639.0
"Georgia, Coweta",31226,21327.0,9056.0
"Georgia, Crawford",3567,1987.0,1513.0
"Georgia, Crisp",5609,3285.0,2268.0
"Georgia, Dade",5049,3333.0,1628.0
"Georgia, Dawson",5898,4210.0,1458.0
"Georgia, Decatur",7648,4187.0,3398.0
"Georgia, DeKalb",219980,58807.0,154509.0
"Georgia, Dodge",5877,3472.0,2326.0
"Georgia, Dooly",3520,1588.0,1901.0
"Georgia, Dougherty",29064,12248.0,16650.0
"Georgia, Douglas",30964,18893.0,11162.0
"Georgia, Early",3585,1938.0,1622.0
"Georgia, Echols",898,614.0,272.0
"Georgia, Effingham",10650,7326.0,3232.0
"Georgia, Elbert",5853,3262.0,2527.0
"Georgia, Emanuel",6263,3343.0,2835.0
"Georgia, Evans",3080,1841.0,1217.0
"Georgia, Fannin",8390,5463.0,2736.0
"Georgia, Fayette",42449,29338.0,11912.0
"Georgia, Floyd",26825,16194.0,10282.0
"Georgia, Forsyth",35755,27769.0,6694.0
"Georgia, Franklin",5762,3659.0,2040.0
"Georgia, Fulton",263212,104870.0,152039.0
"Georgia, Gilmer",7370,4941.0,2230.0
"Georgia, Glascock",1020,763.0,249.0
"Georgia, Glynn",22384,14346.0,7778.0
"Georgia, Gordon",12205,7944.0,4032.0
"Georgia, Grady",6703,3894.0,2721.0
"Georgia, Greene",5197,2980.0,2137.0
