year,state,state_code,county,candidate,party,candidate_votes,total_votes,Location
2004,Texas,TX,Kinney,John Kerry,democrat,542.0,1600,"Texas, Kinney"
2004,Texas,TX,Kinney,George W. Bush,republican,1051.0,1600,"Texas, Kinney"
2004,Texas,TX,Kleberg,John Kerry,democrat,4550.0,9973,"Texas, Kleberg"
2004,Texas,TX,Kleberg,George W. Bush,republican,5366.0,9973,"Texas, Kleberg"
2004,Texas,TX,Knox,John Kerry,democrat,464.0,1552,"Texas, Knox"
2004,Texas,TX,Knox,George W. Bush,republican,1081.0,1552,"Texas, Knox"
2004,Texas,TX,La Salle,John Kerry,democrat,1229.0,2230,"Texas, La Salle"
2004,Texas,TX,La Salle,George W. Bush,republican,989.0,2230,"Texas, La Salle"
2004,Texas,TX,Lamar,John Kerry,democrat,5338.0,17470,"Texas, Lamar"
2004,Texas,TX,Lamar,George W. Bush,republican,12054.0,17470,"Texas, Lamar"
2004,Texas,TX,Lamb,John Kerry,democrat,857.0,4271,"Texas, Lamb"
2004,Texas,TX,Lamb,George W. Bush,republican,3410.0,4271,"Texas, Lamb"
2004,Texas,TX,Lampasas,John Kerry,democrat,1593.0,7025,"Texas, Lampasas"
2004,Texas,TX,Lampasas,George W. Bush,republican,5422.0,7025,"Texas, Lampasas"
2004,Texas,TX,Lavaca,John Kerry,democrat,2152.0,8177,"Texas, Lavaca"
2004,Texas,TX,Lavaca,George W. Bush,republican,5974.0,8177,"Texas, Lavaca"
2004,Texas,TX,Lee,John Kerry,democrat,1899.0,6088,"Texas, Lee"
2004,Texas,TX,Lee,George W. Bush,republican,4160.0,6088,"Texas, Lee"
2004,Texas,TX,Leon,John Kerry,democrat,1754.0,6799,"Texas, Leon"
2004,Texas,TX,Leon,George W. Bush,republican,5023.0,6799,"Texas, Leon"
2004,Texas,TX,Liberty,John Kerry,democrat,6780.0,21691,"Texas, Liberty"
2004,Texas,TX,Liberty,George W. Bush,republican,14821.0,21691,"Texas, Liberty"
2004,Texas,TX,Limestone,John Kerry,democrat,2752.0,7818,"Texas, Limestone"
2004,Texas,TX,Limestone,George W. Bush,republican,5028.0,7818,"Texas, Limestone"
2004,Texas,TX,Lipscomb,John Kerry,democrat,184.0,1337,"Texas, Lipscomb"
2004,Texas,TX,Lipscomb,George W. Bush,republican,1147.0,1337,"Texas, Lipscomb"
2004,Texas,TX,Live Oak,John Kerry,democrat,1036.0,4201,"Texas, Live Oak"
2004,Texas,TX,Live Oak,George W. Bush,republican,3147.0,4201,"Texas, Live Oak"
2004,Texas,TX,Llano,John Kerry,democrat,2257.0,9563,"Texas, Llano"
2004,Texas,TX,Llano,George W. Bush,republican,7241.0,9563,"Texas, Llano"
2004,Texas,TX,Loving,John Kerry,democrat,12.0,80,"Texas, Loving"
2004,Texas,TX,Loving,George W. Bush,republican,65.0,80,"Texas, Loving"
2004,Texas,TX,Lubbock,John Kerry,democrat,22472.0,93151,"Texas, Lubbock"
2004,Texas,TX,Lubbock,George W. Bush,republican,70135.0,93151,"Texas, Lubbock"
2004,Texas,TX,Lynn,John Kerry,democrat,490.0,2271,"Texas, Lynn"
2004,Texas,TX,Lynn,George W. Bush,republican,1776.0,2271,"Texas, Lynn"
2004,Texas,TX,Madison,John Kerry,democrat,1235.0,4101,"Texas, Madison"
2004,Texas,TX,Madison,George W. Bush,republican,2837.0,4101,"Texas, Madison"
2004,Texas,TX,Marion,John Kerry,democrat,1884.0,4348,"Texas, Marion"
2004,Texas,TX,Marion,George W. Bush,republican,2441.0,4348,"Texas, Marion"
2004,Texas,TX,Martin,John Kerry,democrat,288.0,1807,"Texas, Martin"
2004,Texas,TX,Martin,George W. Bush,republican,1514.0,1807,"Texas, Martin"
2004,Texas,TX,Mason,John Kerry,democrat,459.0,2077,"Texas, Mason"
2004,Texas,TX,Mason,George W. Bush,republican,1600.0,2077,"Texas, Mason"
2004,Texas,TX,Matagorda,John Kerry,democrat,4355.0,12521,"Texas, Matagorda"
2004,Texas,TX,Matagorda,George W. Bush,republican,8119.0,12521,"Texas, Matagorda"
2004,Texas,TX,Maverick,John Kerry,democrat,5948.0,10034,"Texas, Maverick"
2004,Texas,TX,Maverick,George W. Bush,republican,4025.0,10034,"Texas, Maverick"
2004,Texas,TX,McCulloch,John Kerry,democrat,745.0,3220,"Texas, McCulloch"
2004,Texas,TX,McCulloch,George W. Bush,republican,2465.0,3220,"Texas, McCulloch"
2004,Texas,TX,McLennan,John Kerry,democrat,26760.0,79254,"Texas, McLennan"
2004,Texas,TX,McLennan,George W. Bush,republican,52090.0,79254,"Texas, McLennan"
2004,Texas,TX,McMullen,John Kerry,democrat,95.0,564,"Texas, McMullen"
2004,Texas,TX,McMullen,George W. Bush,republican,467.0,564,"Texas, McMullen"
2004,Texas,TX,Medina,John Kerry,democrat,4322.0,14826,"Texas, Medina"
2004,Texas,TX,Medina,George W. Bush,republican,10389.0,14826,"Texas, Medina"
2004,Texas,TX,Menard,John Kerry,democrat,331.0,1103,"Texas, Menard"
2004,Texas,TX,Menard,George W. Bush,republican,761.0,1103,"Texas, Menard"
2004,Texas,TX,Midland,John Kerry,democrat,8005.0,44834,"Texas, Midland"
2004,Texas,TX,Midland,George W. Bush,republican,36585.0,44834,"Texas, Midland"
2004,Texas,TX,Milam,John Kerry,democrat,3445.0,8783,"Texas, Milam"
2004,Texas,TX,Milam,George W. Bush,republican,5291.0,8783,"Texas, Milam"
2004,Texas,TX,Mills,John Kerry,democrat,416.0,2231,"Texas, Mills"
2004,Texas,TX,Mills,George W. Bush,republican,1794.0,2231,"Texas, Mills"
2004,Texas,TX,Mitchell,John Kerry,democrat,639.0,2558,"Texas, Mitchell"
2004,Texas,TX,Mitchell,George W. Bush,republican,1912.0,2558,"Texas, Mitchell"
2004,Texas,TX,Montague,John Kerry,democrat,1946.0,7897,"Texas, Montague"
2004,Texas,TX,Montague,George W. Bush,republican,5910.0,7897,"Texas, Montague"
2004,Texas,TX,Montgomery,John Kerry,democrat,28628.0,133988,"Texas, Montgomery"
2004,Texas,TX,Montgomery,George W. Bush,republican,104654.0,133988,"Texas, Montgomery"
2004,Texas,TX,Moore,John Kerry,democrat,1009.0,5628,"Texas, Moore"
2004,Texas,TX,Moore,George W. Bush,republican,4601.0,5628,"Texas, Moore"
2004,Texas,TX,Morris,John Kerry,democrat,2437.0,5278,"Texas, Morris"
2004,Texas,TX,Morris,George W. Bush,republican,2818.0,5278,"Texas, Morris"
2004,Texas,TX,Motley,John Kerry,democrat,113.0,684,"Texas, Motley"
2004,Texas,TX,Motley,George W. Bush,republican,564.0,684,"Texas, Motley"
2004,Texas,TX,Nacogdoches,John Kerry,democrat,7152.0,21466,"Texas, Nacogdoches"
2004,Texas,TX,Nacogdoches,George W. Bush,republican,14160.0,21466,"Texas, Nacogdoches"
2004,Texas,TX,Navarro,John Kerry,democrat,5259.0,16034,"Texas, Navarro"
2004,Texas,TX,Navarro,George W. Bush,republican,10715.0,16034,"Texas, Navarro"
2004,Texas,TX,Newton,John Kerry,democrat,2513.0,5700,"Texas, Newton"
2004,Texas,TX,Newton,George W. Bush,republican,3159.0,5700,"Texas, Newton"
2004,Texas,TX,Nolan,John Kerry,democrat,1541.0,5289,"Texas, Nolan"
2004,Texas,TX,Nolan,George W. Bush,republican,3722.0,5289,"Texas, Nolan"
2004,Texas,TX,Nueces,John Kerry,democrat,44439.0,104560,"Texas, Nueces"
2004,Texas,TX,Nueces,George W. Bush,republican,59359.0,104560,"Texas, Nueces"
2004,Texas,TX,Ochiltree,John Kerry,democrat,251.0,3177,"Texas, Ochiltree"
2004,Texas,TX,Ochiltree,George W. Bush,republican,2922.0,3177,"Texas, Ochiltree"
2004,Texas,TX,Oldham,John Kerry,democrat,108.0,843,"Texas, Oldham"
2004,Texas,TX,Oldham,George W. Bush,republican,733.0,843,"Texas, Oldham"
2004,Texas,TX,Orange,John Kerry,democrat,11476.0,31908,"Texas, Orange"
2004,Texas,TX,Orange,George W. Bush,republican,20292.0,31908,"Texas, Orange"
2004,Texas,TX,Palo Pinto,John Kerry,democrat,2816.0,10014,"Texas, Palo Pinto"
2004,Texas,TX,Palo Pinto,George W. Bush,republican,7137.0,10014,"Texas, Palo Pinto"
2004,Texas,TX,Panola,John Kerry,democrat,2958.0,10007,"Texas, Panola"
2004,Texas,TX,Panola,George W. Bush,republican,7021.0,10007,"Texas, Panola"
2004,Texas,TX,Parker,John Kerry,democrat,8966.0,40957,"Texas, Parker"
2004,Texas,TX,Parker,George W. Bush,republican,31795.0,40957,"Texas, Parker"
2004,Texas,TX,Parmer,John Kerry,democrat,389.0,2773,"Texas, Parmer"
2004,Texas,TX,Parmer,George W. Bush,republican,2375.0,2773,"Texas, Parmer"
2004,Texas,TX,Pecos,John Kerry,democrat,1242.0,4428,"Texas, Pecos"
2004,Texas,TX,Pecos,George W. Bush,republican,3167.0,4428,"Texas, Pecos"
2004,Texas,TX,Polk,John Kerry,democrat,6964.0,20846,"Texas, Polk"
2004,Texas,TX,Polk,George W. Bush,republican,13778.0,20846,"Texas, Polk"
2004,Texas,TX,Potter,John Kerry,democrat,7489.0,29056,"Texas, Potter"
2004,Texas,TX,Potter,George W. Bush,republican,21401.0,29056,"Texas, Potter"
2004,Texas,TX,Presidio,John Kerry,democrat,1159.0,1890,"Texas, Presidio"
2004,Texas,TX,Presidio,George W. Bush,republican,715.0,1890,"Texas, Presidio"
2004,Texas,TX,Rains,John Kerry,democrat,1213.0,4229,"Texas, Rains"
2004,Texas,TX,Rains,George W. Bush,republican,2998.0,4229,"Texas, Rains"
2004,Texas,TX,Randall,John Kerry,democrat,7849.0,48587,"Texas, Randall"
2004,Texas,TX,Randall,George W. Bush,republican,40520.0,48587,"Texas, Randall"
2004,Texas,TX,Reagan,John Kerry,democrat,184.0,1143,"Texas, Reagan"
2004,Texas,TX,Reagan,George W. Bush,republican,956.0,1143,"Texas, Reagan"
2004,Texas,TX,Real,John Kerry,democrat,325.0,1645,"Texas, Real"
2004,Texas,TX,Real,George W. Bush,republican,1314.0,1645,"Texas, Real"
2004,Texas,TX,Red River,John Kerry,democrat,2097.0,5490,"Texas, Red River"
2004,Texas,TX,Red River,George W. Bush,republican,3379.0,5490,"Texas, Red River"
2004,Texas,TX,Reeves,John Kerry,democrat,1600.0,3395,"Texas, Reeves"
2004,Texas,TX,Reeves,George W. Bush,republican,1777.0,3395,"Texas, Reeves"
2004,Texas,TX,Refugio,John Kerry,democrat,1232.0,3455,"Texas, Refugio"
2004,Texas,TX,Refugio,George W. Bush,republican,2212.0,3455,"Texas, Refugio"
2004,Texas,TX,Roberts,John Kerry,democrat,46.0,507,"Texas, Roberts"
2004,Texas,TX,Roberts,George W. Bush,republican,461.0,507,"Texas, Roberts"
2004,Texas,TX,Robertson,John Kerry,democrat,2979.0,6795,"Texas, Robertson"
2004,Texas,TX,Robertson,George W. Bush,republican,3792.0,6795,"Texas, Robertson"
2004,Texas,TX,Rockwall,John Kerry,democrat,5320.0,25581,"Texas, Rockwall"
2004,Texas,TX,Rockwall,George W. Bush,republican,20120.0,25581,"Texas, Rockwall"
2004,Texas,TX,Runnels,John Kerry,democrat,792.0,4049,"Texas, Runnels"
2004,Texas,TX,Runnels,George W. Bush,republican,3239.0,4049,"Texas, Runnels"
2004,Texas,TX,Rusk,John Kerry,democrat,4899.0,18344,"Texas, Rusk"
2004,Texas,TX,Rusk,George W. Bush,republican,13390.0,18344,"Texas, Rusk"
2004,Texas,TX,Sabine,John Kerry,democrat,1476.0,4639,"Texas, Sabine"
2004,Texas,TX,Sabine,George W. Bush,republican,3138.0,4639,"Texas, Sabine"
2004,Texas,TX,San Augustine,John Kerry,democrat,1506.0,3757,"Texas, San Augustine"
2004,Texas,TX,San Augustine,George W. Bush,republican,2235.0,3757,"Texas, San Augustine"
2004,Texas,TX,San Jacinto,John Kerry,democrat,2688.0,8125,"Texas, San Jacinto"
2004,Texas,TX,San Jacinto,George W. Bush,republican,5394.0,8125,"Texas, San Jacinto"
2004,Texas,TX,San Patricio,John Kerry,democrat,7764.0,21320,"Texas, San Patricio"
2004,Texas,TX,San Patricio,George W. Bush,republican,13474.0,21320,"Texas, San Patricio"
2004,Texas,TX,San Saba,John Kerry,democrat,529.0,2431,"Texas, San Saba"
2004,Texas,TX,San Saba,George W. Bush,republican,1894.0,2431,"Texas, San Saba"
2004,Texas,TX,Schleicher,John Kerry,democrat,312.0,1329,"Texas, Schleicher"
2004,Texas,TX,Schleicher,George W. Bush,republican,1012.0,1329,"Texas, Schleicher"
2004,Texas,TX,Scurry,John Kerry,democrat,981.0,5572,"Texas, Scurry"
2004,Texas,TX,Scurry,George W. Bush,republican,4576.0,5572,"Texas, Scurry"
2004,Texas,TX,Shackelford,John Kerry,democrat,229.0,1527,"Texas, Shackelford"
2004,Texas,TX,Shackelford,George W. Bush,republican,1292.0,1527,"Texas, Shackelford"
2004,Texas,TX,Shelby,John Kerry,democrat,2951.0,9279,"Texas, Shelby"
2004,Texas,TX,Shelby,George W. Bush,republican,6295.0,9279,"Texas, Shelby"
2004,Texas,TX,Sherman,John Kerry,democrat,124.0,1066,"Texas, Sherman"
2004,Texas,TX,Sherman,George W. Bush,republican,942.0,1066,"Texas, Sherman"
2004,Texas,TX,Smith,John Kerry,democrat,19970.0,73664,"Texas, Smith"
2004,Texas,TX,Smith,George W. Bush,republican,53392.0,73664,"Texas, Smith"
2004,Texas,TX,Somervell,John Kerry,democrat,831.0,3551,"Texas, Somervell"
2004,Texas,TX,Somervell,George W. Bush,republican,2701.0,3551,"Texas, Somervell"
2004,Texas,TX,Starr,John Kerry,democrat,7199.0,9781,"Texas, Starr"
2004,Texas,TX,Starr,George W. Bush,republican,2552.0,9781,"Texas, Starr"
2004,Texas,TX,Stephens,John Kerry,democrat,703.0,3519,"Texas, Stephens"
2004,Texas,TX,Stephens,George W. Bush,republican,2803.0,3519,"Texas, Stephens"
2004,Texas,TX,Sterling,John Kerry,democrat,71.0,615,"Texas, Sterling"
2004,Texas,TX,Sterling,George W. Bush,republican,544.0,615,"Texas, Sterling"
2004,Texas,TX,Stonewall,John Kerry,democrat,250.0,752,"Texas, Stonewall"
2004,Texas,TX,Stonewall,George W. Bush,republican,499.0,752,"Texas, Stonewall"
2004,Texas,TX,Sutton,John Kerry,democrat,280.0,1453,"Texas, Sutton"
2004,Texas,TX,Sutton,George W. Bush,republican,1173.0,1453,"Texas, Sutton"
2004,Texas,TX,Swisher,John Kerry,democrat,626.0,2120,"Texas, Swisher"
2004,Texas,TX,Swisher,George W. Bush,republican,1487.0,2120,"Texas, Swisher"
2004,Texas,TX,Tarrant,John Kerry,democrat,207286.0,560141,"Texas, Tarrant"
2004,Texas,TX,Tarrant,George W. Bush,republican,349462.0,560141,"Texas, Tarrant"
2004,Texas,TX,Taylor,John Kerry,democrat,10648.0,48099,"Texas, Taylor"
2004,Texas,TX,Taylor,George W. Bush,republican,37197.0,48099,"Texas, Taylor"
2004,Texas,TX,Terrell,John Kerry,democrat,159.0,469,"Texas, Terrell"
2004,Texas,TX,Terrell,George W. Bush,republican,306.0,469,"Texas, Terrell"
2004,Texas,TX,Terry,John Kerry,democrat,794.0,3970,"Texas, Terry"
2004,Texas,TX,Terry,George W. Bush,republican,3166.0,3970,"Texas, Terry"
2004,Texas,TX,Throckmorton,John Kerry,democrat,202.0,863,"Texas, Throckmorton"
2004,Texas,TX,Throckmorton,George W. Bush,republican,656.0,863,"Texas, Throckmorton"
2004,Texas,TX,Titus,John Kerry,democrat,3173.0,8907,"Texas, Titus"
2004,Texas,TX,Titus,George W. Bush,republican,5709.0,8907,"Texas, Titus"
2004,Texas,TX,Tom Green,John Kerry,democrat,9007.0,37417,"Texas, Tom Green"
2004,Texas,TX,Tom Green,George W. Bush,republican,28185.0,37417,"Texas, Tom Green"
2004,Texas,TX,Travis,John Kerry,democrat,197235.0,352113,"Texas, Travis"
2004,Texas,TX,Travis,George W. Bush,republican,147885.0,352113,"Texas, Travis"
2004,Texas,TX,Trinity,John Kerry,democrat,2204.0,6213,"Texas, Trinity"
2004,Texas,TX,Trinity,George W. Bush,republican,3985.0,6213,"Texas, Trinity"
2004,Texas,TX,Tyler,John Kerry,democrat,2659.0,7745,"Texas, Tyler"
2004,Texas,TX,Tyler,George W. Bush,republican,5043.0,7745,"Texas, Tyler"
2004,Texas,TX,Upshur,John Kerry,democrat,4225.0,14526,"Texas, Upshur"
2004,Texas,TX,Upshur,George W. Bush,republican,10232.0,14526,"Texas, Upshur"
2004,Texas,TX,Upton,John Kerry,democrat,185.0,1197,"Texas, Upton"
2004,Texas,TX,Upton,George W. Bush,republican,1009.0,1197,"Texas, Upton"
2004,Texas,TX,Uvalde,John Kerry,democrat,3298.0,8483,"Texas, Uvalde"
2004,Texas,TX,Uvalde,George W. Bush,republican,5148.0,8483,"Texas, Uvalde"
2004,Texas,TX,Val Verde,John Kerry,democrat,4757.0,11795,"Texas, Val Verde"
2004,Texas,TX,Val Verde,George W. Bush,republican,6968.0,11795,"Texas, Val Verde"
2004,Texas,TX,Van Zandt,John Kerry,democrat,4822.0,19856,"Texas, Van Zandt"
2004,Texas,TX,Van Zandt,George W. Bush,republican,14976.0,19856,"Texas, Van Zandt"
2004,Texas,TX,Victoria,John Kerry,democrat,8553.0,29602,"Texas, Victoria"
2004,Texas,TX,Victoria,George W. Bush,republican,20875.0,29602,"Texas, Victoria"
2004,Texas,TX,Walker,John Kerry,democrat,5977.0,17822,"Texas, Walker"
2004,Texas,TX,Walker,George W. Bush,republican,11710.0,17822,"Texas, Walker"
2004,Texas,TX,Waller,John Kerry,democrat,6145.0,13881,"Texas, Waller"
2004,Texas,TX,Waller,George W. Bush,republican,7679.0,13881,"Texas, Waller"
2004,Texas,TX,Ward,John Kerry,democrat,901.0,3768,"Texas, Ward"
2004,Texas,TX,Ward,George W. Bush,republican,2856.0,3768,"Texas, Ward"
2004,Texas,TX,Washington,John Kerry,democrat,3389.0,13063,"Texas, Washington"
2004,Texas,TX,Washington,George W. Bush,republican,9597.0,13063,"Texas, Washington"
2004,Texas,TX,Webb,John Kerry,democrat,23654.0,41556,"Texas, Webb"
2004,Texas,TX,Webb,George W. Bush,republican,17753.0,41556,"Texas, Webb"
2004,Texas,TX,Wharton,John Kerry,democrat,4702.0,14039,"Texas, Wharton"
2004,Texas,TX,Wharton,George W. Bush,republican,9288.0,14039,"Texas, Wharton"
2004,Texas,TX,Wheeler,John Kerry,democrat,420.0,2394,"Texas, Wheeler"
2004,Texas,TX,Wheeler,George W. Bush,republican,1960.0,2394,"Texas, Wheeler"
2004,Texas,TX,Wichita,John Kerry,democrat,12819.0,45545,"Texas, Wichita"
2004,Texas,TX,Wichita,George W. Bush,republican,32472.0,45545,"Texas, Wichita"
2004,Texas,TX,Wilbarger,John Kerry,democrat,1284.0,4990,"Texas, Wilbarger"
2004,Texas,TX,Wilbarger,George W. Bush,republican,3685.0,4990,"Texas, Wilbarger"
2004,Texas,TX,Willacy,John Kerry,democrat,2734.0,4962,"Texas, Willacy"
2004,Texas,TX,Willacy,George W. Bush,republican,2209.0,4962,"Texas, Willacy"
2004,Texas,TX,Williamson,John Kerry,democrat,43117.0,128198,"Texas, Williamson"
2004,Texas,TX,Williamson,George W. Bush,republican,83284.0,128198,"Texas, Williamson"
2004,Texas,TX,Wilson,John Kerry,democrat,4409.0,14885,"Texas, Wilson"
2004,Texas,TX,Wilson,George W. Bush,republican,10400.0,14885,"Texas, Wilson"
2004,Texas,TX,Winkler,John Kerry,democrat,391.0,2002,"Texas, Winkler"
2004,Texas,TX,Winkler,George W. Bush,republican,1604.0,2002,"Texas, Winkler"
2004,Texas,TX,Wise,John Kerry,democrat,4783.0,20031,"Texas, Wise"
2004,Texas,TX,Wise,George W. Bush,republican,15177.0,20031,"Texas, Wise"
2004,Texas,TX,Wood,John Kerry,democrat,4034.0,16929,"Texas, Wood"
2004,Texas,TX,Wood,George W. Bush,republican,12831.0,16929,"Texas, Wood"
2004,Texas,TX,Yoakum,John Kerry,democrat,376.0,2613,"Texas, Yoakum"
2004,Texas,TX,Yoakum,George W. Bush,republican,2228.0,2613,"Texas, Yoakum"
2004,Texas,TX,Young,John Kerry,democrat,1511.0,7409,"Texas, Young"
2004,Texas,TX,Young,George W. Bush,republican,5874.0,7409,"Texas, Young"
2004,Texas,TX,Zapata,John Kerry,democrat,1662.0,2898,"Texas, Zapata"
2004,Texas,TX,Zapata,George W. Bush,republican,1228.0,2898,"Texas, Zapata"
2004,Texas,TX,Zavala,John Kerry,democrat,2332.0,3118,"Texas, Zavala"
2004,Texas,TX,Zavala,George W. Bush,republican,777.0,3118,"Texas, Zavala"
2004,Utah,UT,Beaver,John Kerry,democrat,493.0,2544,"Utah, Beaver"
2004,Utah,UT,Beaver,George W. Bush,republican,2023.0,2544,"Utah, Beaver"
2004,Utah,UT,Box Elder,John Kerry,democrat,2244.0,18368,"Utah, Box Elder"
2004,Utah,UT,Box Elder,George W. Bush,republican,15751.0,18368,"Utah, Box Elder"
2004,Utah,UT,Cache,John Kerry,democrat,6375.0,39731,"Utah, Cache"
2004,Utah,UT,Cache,George W. Bush,republican,32486.0,39731,"Utah, Cache"
2004,Utah,UT,Carbon,John Kerry,democrat,3415.0,8508,"Utah, Carbon"
2004,Utah,UT,Carbon,George W. Bush,republican,4950.0,8508,"Utah, Carbon"
2004,Utah,UT,Daggett,John Kerry,democrat,108.0,499,"Utah, Daggett"
2004,Utah,UT,Daggett,George W. Bush,republican,380.0,499,"Utah, Daggett"
2004,Utah,UT,Davis,John Kerry,democrat,20893.0,109268,"Utah, Davis"
2004,Utah,UT,Davis,George W. Bush,republican,86187.0,109268,"Utah, Davis"
2004,Utah,UT,Duchesne,John Kerry,democrat,738.0,5556,"Utah, Duchesne"
2004,Utah,UT,Duchesne,George W. Bush,republican,4742.0,5556,"Utah, Duchesne"
2004,Utah,UT,Emery,John Kerry,democrat,831.0,4678,"Utah, Emery"
2004,Utah,UT,Emery,George W. Bush,republican,3781.0,4678,"Utah, Emery"
2004,Utah,UT,Garfield,John Kerry,democrat,264.0,2162,"Utah, Garfield"
2004,Utah,UT,Garfield,George W. Bush,republican,1848.0,2162,"Utah, Garfield"
2004,Utah,UT,Grand,John Kerry,democrat,1858.0,4165,"Utah, Grand"
2004,Utah,UT,Grand,George W. Bush,republican,2130.0,4165,"Utah, Grand"
2004,Utah,UT,Iron,John Kerry,democrat,2267.0,15446,"Utah, Iron"
2004,Utah,UT,Iron,George W. Bush,republican,12815.0,15446,"Utah, Iron"
2004,Utah,UT,Juab,John Kerry,democrat,605.0,3417,"Utah, Juab"
2004,Utah,UT,Juab,George W. Bush,republican,2681.0,3417,"Utah, Juab"
2004,Utah,UT,Kane,John Kerry,democrat,576.0,3051,"Utah, Kane"
2004,Utah,UT,Kane,George W. Bush,republican,2414.0,3051,"Utah, Kane"
2004,Utah,UT,Millard,John Kerry,democrat,626.0,4877,"Utah, Millard"
2004,Utah,UT,Millard,George W. Bush,republican,4084.0,4877,"Utah, Millard"
2004,Utah,UT,Morgan,John Kerry,democrat,472.0,3841,"Utah, Morgan"
2004,Utah,UT,Morgan,George W. Bush,republican,3301.0,3841,"Utah, Morgan"
2004,Utah,UT,Piute,John Kerry,democrat,123.0,773,"Utah, Piute"
2004,Utah,UT,Piute,George W. Bush,republican,646.0,773,"Utah, Piute"
2004,Utah,UT,Rich,John Kerry,democrat,109.0,1037,"Utah, Rich"
2004,Utah,UT,Rich,George W. Bush,republican,922.0,1037,"Utah, Rich"
2004,Utah,UT,Salt Lake,John Kerry,democrat,135949.0,362138,"Utah, Salt Lake"
2004,Utah,UT,Salt Lake,George W. Bush,republican,215728.0,362138,"Utah, Salt Lake"
2004,Utah,UT,San Juan,John Kerry,democrat,1906.0,4950,"Utah, San Juan"
2004,Utah,UT,San Juan,George W. Bush,republican,2971.0,4950,"Utah, San Juan"
2004,Utah,UT,Sanpete,John Kerry,democrat,1189.0,8507,"Utah, Sanpete"
2004,Utah,UT,Sanpete,George W. Bush,republican,7004.0,8507,"Utah, Sanpete"
2004,Utah,UT,Sevier,John Kerry,democrat,920.0,7641,"Utah, Sevier"
2004,Utah,UT,Sevier,George W. Bush,republican,6597.0,7641,"Utah, Sevier"
2004,Utah,UT,Summit,John Kerry,democrat,6977.0,15312,"Utah, Summit"
2004,Utah,UT,Summit,George W. Bush,republican,7936.0,15312,"Utah, Summit"
2004,Utah,UT,Tooele,John Kerry,democrat,4130.0,16664,"Utah, Tooele"
2004,Utah,UT,Tooele,George W. Bush,republican,12181.0,16664,"Utah, Tooele"
2004,Utah,UT,Uintah,John Kerry,democrat,1266.0,9957,"Utah, Uintah"
2004,Utah,UT,Uintah,George W. Bush,republican,8518.0,9957,"Utah, Uintah"
2004,Utah,UT,Utah,John Kerry,democrat,17357.0,149173,"Utah, Utah"
2004,Utah,UT,Utah,George W. Bush,republican,128269.0,149173,"Utah, Utah"
2004,Utah,UT,Wasatch,John Kerry,democrat,1854.0,7512,"Utah, Wasatch"
2004,Utah,UT,Wasatch,George W. Bush,republican,5503.0,7512,"Utah, Wasatch"
2004,Utah,UT,Washington,John Kerry,democrat,7513.0,44018,"Utah, Washington"
2004,Utah,UT,Washington,George W. Bush,republican,35633.0,44018,"Utah, Washington"
2004,Utah,UT,Wayne,John Kerry,democrat,279.0,1360,"Utah, Wayne"
2004,Utah,UT,Wayne,George W. Bush,republican,1062.0,1360,"Utah, Wayne"
2004,Utah,UT,Weber,John Kerry,democrat,19862.0,72691,"Utah, Weber"
2004,Utah,UT,Weber,George W. Bush,republican,51199.0,72691,"Utah, Weber"
2004,Vermont,VT,Addison,John Kerry,democrat,11147.0,18579,"Vermont, Addison"
2004,Vermont,VT,Addison,George W. Bush,republican,7077.0,18579,"Vermont, Addison"
2004,Vermont,VT,Bennington,John Kerry,democrat,11069.0,19065,"Vermont, Bennington"
2004,Vermont,VT,Bennington,George W. Bush,republican,7616.0,19065,"Vermont, Bennington"
2004,Vermont,VT,Caledonia,John Kerry,democrat,7106.0,14211,"Vermont, Caledonia"
2004,Vermont,VT,Caledonia,George W. Bush,republican,6765.0,14211,"Vermont, Caledonia"
2004,Vermont,VT,Chittenden,John Kerry,democrat,49369.0,77696,"Vermont, Chittenden"
2004,Vermont,VT,Chittenden,George W. Bush,republican,26422.0,77696,"Vermont, Chittenden"
2004,Vermont,VT,Essex,John Kerry,democrat,1276.0,2937,"Vermont, Essex"
2004,Vermont,VT,Essex,George W. Bush,republican,1591.0,2937,"Vermont, Essex"
2004,Vermont,VT,Franklin,John Kerry,democrat,10598.0,19920,"Vermont, Franklin"
2004,Vermont,VT,Franklin,George W. Bush,republican,8936.0,19920,"Vermont, Franklin"
2004,Vermont,VT,Grand Isle,John Kerry,democrat,2246.0,4077,"Vermont, Grand Isle"
2004,Vermont,VT,Grand Isle,George W. Bush,republican,1754.0,4077,"Vermont, Grand Isle"
2004,Vermont,VT,Lamoille,John Kerry,democrat,7636.0,12181,"Vermont, Lamoille"
2004,Vermont,VT,Lamoille,George W. Bush,republican,4260.0,12181,"Vermont, Lamoille"
2004,Vermont,VT,Orange,John Kerry,democrat,8159.0,14895,"Vermont, Orange"
2004,Vermont,VT,Orange,George W. Bush,republican,6421.0,14895,"Vermont, Orange"
2004,Vermont,VT,Orleans,John Kerry,democrat,6330.0,12242,"Vermont, Orleans"
2004,Vermont,VT,Orleans,George W. Bush,republican,5666.0,12242,"Vermont, Orleans"
2004,Vermont,VT,Rutland,John Kerry,democrat,15904.0,30975,"Vermont, Rutland"
2004,Vermont,VT,Rutland,George W. Bush,republican,14440.0,30975,"Vermont, Rutland"
2004,Vermont,VT,Washington,John Kerry,democrat,19177.0,31448,"Vermont, Washington"
