year,state,state_code,county,candidate,party,candidate_votes,total_votes,Location
2004,Arizona,AZ,Navajo,John Kerry,democrat,14815.0,32343,"Arizona, Navajo"
2004,Arizona,AZ,Navajo,George W. Bush,republican,17277.0,32343,"Arizona, Navajo"
2004,Arizona,AZ,Pima,John Kerry,democrat,193128.0,366907,"Arizona, Pima"
2004,Arizona,AZ,Pima,George W. Bush,republican,171109.0,366907,"Arizona, Pima"
2004,Arizona,AZ,Pinal,John Kerry,democrat,27252.0,64622,"Arizona, Pinal"
2004,Arizona,AZ,Pinal,George W. Bush,republican,37006.0,64622,"Arizona, Pinal"
2004,Arizona,AZ,Santa Cruz,John Kerry,democrat,6909.0,11668,"Arizona, Santa Cruz"
2004,Arizona,AZ,Santa Cruz,George W. Bush,republican,4668.0,11668,"Arizona, Santa Cruz"
2004,Arizona,AZ,Yavapai,John Kerry,democrat,33127.0,87389,"Arizona, Yavapai"
2004,Arizona,AZ,Yavapai,George W. Bush,republican,53468.0,87389,"Arizona, Yavapai"
2004,Arizona,AZ,Yuma,John Kerry,democrat,16032.0,38465,"Arizona, Yuma"
2004,Arizona,AZ,Yuma,George W. Bush,republican,22184.0,38465,"Arizona, Yuma"
2004,Arkansas,AR,Arkansas,John Kerry,democrat,3110.0,6946,"Arkansas, Arkansas"
2004,Arkansas,AR,Arkansas,George W. Bush,republican,3789.0,6946,"Arkansas, Arkansas"
2004,Arkansas,AR,Ashley,John Kerry,democrat,3881.0,8512,"Arkansas, Ashley"
2004,Arkansas,AR,Ashley,George W. Bush,republican,4567.0,8512,"Arkansas, Ashley"
2004,Arkansas,AR,Baxter,John Kerry,democrat,7129.0,18530,"Arkansas, Baxter"
2004,Arkansas,AR,Baxter,George W. Bush,republican,11128.0,18530,"Arkansas, Baxter"
2004,Arkansas,AR,Benton,John Kerry,democrat,20756.0,68121,"Arkansas, Benton"
2004,Arkansas,AR,Benton,George W. Bush,republican,46571.0,68121,"Arkansas, Benton"
2004,Arkansas,AR,Boone,John Kerry,democrat,4640.0,14777,"Arkansas, Boone"
2004,Arkansas,AR,Boone,George W. Bush,republican,9793.0,14777,"Arkansas, Boone"
2004,Arkansas,AR,Bradley,John Kerry,democrat,2206.0,4249,"Arkansas, Bradley"
2004,Arkansas,AR,Bradley,George W. Bush,republican,2011.0,4249,"Arkansas, Bradley"
2004,Arkansas,AR,Calhoun,John Kerry,democrat,942.0,2303,"Arkansas, Calhoun"
2004,Arkansas,AR,Calhoun,George W. Bush,republican,1341.0,2303,"Arkansas, Calhoun"
2004,Arkansas,AR,Carroll,John Kerry,democrat,4161.0,10481,"Arkansas, Carroll"
2004,Arkansas,AR,Carroll,George W. Bush,republican,6184.0,10481,"Arkansas, Carroll"
2004,Arkansas,AR,Chicot,John Kerry,democrat,2993.0,4757,"Arkansas, Chicot"
2004,Arkansas,AR,Chicot,George W. Bush,republican,1725.0,4757,"Arkansas, Chicot"
2004,Arkansas,AR,Clark,John Kerry,democrat,4985.0,9189,"Arkansas, Clark"
2004,Arkansas,AR,Clark,George W. Bush,republican,4127.0,9189,"Arkansas, Clark"
2004,Arkansas,AR,Clay,John Kerry,democrat,3264.0,6096,"Arkansas, Clay"
