State,County,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Arkansas,Poinsett,25617,25498,25213,25177,25039,25058,24904,24813,24599,24632
Arkansas,Polk,20268,20189,20243,20199,20057,20203,20422,20377,20388,20583
Arkansas,Pope,54541,54986,55405,55622,56606,57535,58809,59793,60528,61302
Arkansas,Prairie,9491,9505,9406,9303,9111,9046,8989,8951,8806,8754
Arkansas,Pulaski,361876,362866,364327,365258,366608,368274,371647,373403,376567,380053
Arkansas,Randolph,18155,18177,18115,18005,18207,18086,18185,18054,18072,17964
Arkansas,St. Francis,29325,29072,29023,29170,28905,28639,28496,28394,28110,28336
Arkansas,Saline,84084,85473,87031,88627,90961,93493,96661,100043,102599,105362
Arkansas,Scott,10980,10950,10930,10936,10872,10976,11239,11287,11227,11097
Arkansas,Searcy,8246,8220,8150,7996,8046,8110,8210,8275,8274,8190
Arkansas,Sebastian,115578,116488,117200,117725,118168,119426,121492,122946,123762,125116
Arkansas,Sevier,15747,15586,15702,15824,16041,16298,16273,16347,16606,16812
Arkansas,Sharp,17138,17244,17276,17381,17353,17391,17629,17506,17416,17373
Arkansas,Stone,11519,11484,11607,11704,11768,11909,12262,12230,12370,12340
Arkansas,Union,45532,44894,44769,44281,43747,43134,42914,42267,42222,41944
Arkansas,Van Buren,16221,16332,16322,16506,16664,16869,17027,17226,17373,17293
Arkansas,Washington,158851,163151,166859,171424,176837,183799,190314,194526,197223,199774
Arkansas,White,67382,68273,68796,69389,70403,71355,72728,73573,74848,76284
Arkansas,Woodruff,8686,8675,8446,8284,8102,8023,7877,7648,7458,7294
Arkansas,Yell,21147,21145,21147,21197,21074,21141,21556,21633,21935,22145
California,Alameda,1449840,1469484,1462106,1454163,1445721,1441545,1444484,1455715,1477208,1498539
California,Alpine,1209,1196,1237,1233,1263,1219,1276,1274,1202,1197
California,Amador,35153,35697,36561,36994,37400,38040,38353,38756,38248,38238
California,Butte,203807,206193,209120,211481,213065,214752,216824,217469,219034,219777
California,Calaveras,40645,41304,42380,43755,44530,45295,46045,46268,46265,45900
California,Colusa,18817,19022,19232,19568,20207,20540,20890,21075,21134,21250
California,Contra Costa,952810,970952,979862,987531,992424,999013,1000834,1009152,1023344,1037890
California,Del Norte,27440,27292,27397,27601,27950,28281,28211,28415,28496,28599
California,El Dorado,157162,161101,165195,168331,171653,175003,176773,177694,179150,180455
California,Fresno,801288,813021,829762,847193,861035,872470,883862,895933,909630,921478
California,Glenn,26416,26450,26651,27016,27122,27393,27652,27775,28019,28100
California,Humboldt,126462,127520,128780,129754,130702,131497,132093,132001,132657,133744
California,Imperial,142410,143707,145640,148984,152259,156113,160505,164596,167917,172008
California,Inyo,17955,18117,18394,18593,18578,18478,18370,18426,18318,18544
California,Kern,663803,676574,694059,714272,736296,760726,784511,803281,818327,830137
California,Kings,129835,132881,135369,139393,143601,145147,147712,150420,152027,152278
California,Lake,58538,60219,61513,62496,63116,63811,64202,64077,64392,64413
California,Lassen,33719,33548,33430,33930,34458,34488,34605,35615,35221,35160
