location,year,state,state_code,county,candidate,party,candidate_votes,total_votes,Location
"Arkansas, Arkansas",2016,Arkansas,AR,Arkansas,Donald Trump,republican,3826.0,6212,"Arkansas, Arkansas"
"Arkansas, Ashley",2016,Arkansas,AR,Ashley,Hillary Clinton,democrat,2408.0,8083,"Arkansas, Ashley"
"Arkansas, Ashley",2016,Arkansas,AR,Ashley,Donald Trump,republican,5338.0,8083,"Arkansas, Ashley"
"Arkansas, Baxter",2016,Arkansas,AR,Baxter,Hillary Clinton,democrat,4169.0,19766,"Arkansas, Baxter"
"Arkansas, Baxter",2016,Arkansas,AR,Baxter,Donald Trump,republican,14682.0,19766,"Arkansas, Baxter"
"Arkansas, Benton",2016,Arkansas,AR,Benton,Hillary Clinton,democrat,28005.0,96824,"Arkansas, Benton"
"Arkansas, Benton",2016,Arkansas,AR,Benton,Donald Trump,republican,60871.0,96824,"Arkansas, Benton"
"Arkansas, Boone",2016,Arkansas,AR,Boone,Hillary Clinton,democrat,2926.0,16111,"Arkansas, Boone"
"Arkansas, Boone",2016,Arkansas,AR,Boone,Donald Trump,republican,12235.0,16111,"Arkansas, Boone"
"Arkansas, Bradley",2016,Arkansas,AR,Bradley,Hillary Clinton,democrat,1317.0,3653,"Arkansas, Bradley"
"Arkansas, Bradley",2016,Arkansas,AR,Bradley,Donald Trump,republican,2164.0,3653,"Arkansas, Bradley"
"Arkansas, Calhoun",2016,Arkansas,AR,Calhoun,Hillary Clinton,democrat,639.0,2269,"Arkansas, Calhoun"
"Arkansas, Calhoun",2016,Arkansas,AR,Calhoun,Donald Trump,republican,1556.0,2269,"Arkansas, Calhoun"
"Arkansas, Carroll",2016,Arkansas,AR,Carroll,Hillary Clinton,democrat,3342.0,10758,"Arkansas, Carroll"
"Arkansas, Carroll",2016,Arkansas,AR,Carroll,Donald Trump,republican,6786.0,10758,"Arkansas, Carroll"
"Arkansas, Chicot",2016,Arkansas,AR,Chicot,Hillary Clinton,democrat,2350.0,4176,"Arkansas, Chicot"
"Arkansas, Chicot",2016,Arkansas,AR,Chicot,Donald Trump,republican,1716.0,4176,"Arkansas, Chicot"
"Arkansas, Clark",2016,Arkansas,AR,Clark,Hillary Clinton,democrat,3620.0,8526,"Arkansas, Clark"
"Arkansas, Clark",2016,Arkansas,AR,Clark,Donald Trump,republican,4404.0,8526,"Arkansas, Clark"
"Arkansas, Clay",2016,Arkansas,AR,Clay,Hillary Clinton,democrat,1199.0,5200,"Arkansas, Clay"
"Arkansas, Clay",2016,Arkansas,AR,Clay,Donald Trump,republican,3781.0,5200,"Arkansas, Clay"
"Arkansas, Cleburne",2016,Arkansas,AR,Cleburne,Hillary Clinton,democrat,2101.0,12085,"Arkansas, Cleburne"
"Arkansas, Cleburne",2016,Arkansas,AR,Cleburne,Donald Trump,republican,9458.0,12085,"Arkansas, Cleburne"
"Arkansas, Cleveland",2016,Arkansas,AR,Cleveland,Hillary Clinton,democrat,723.0,3354,"Arkansas, Cleveland"
"Arkansas, Cleveland",2016,Arkansas,AR,Cleveland,Donald Trump,republican,2462.0,3354,"Arkansas, Cleveland"
"Arkansas, Columbia",2016,Arkansas,AR,Columbia,Hillary Clinton,democrat,3140.0,8887,"Arkansas, Columbia"
"Arkansas, Columbia",2016,Arkansas,AR,Columbia,Donald Trump,republican,5456.0,8887,"Arkansas, Columbia"
"Arkansas, Conway",2016,Arkansas,AR,Conway,Hillary Clinton,democrat,2656.0,7927,"Arkansas, Conway"
"Arkansas, Conway",2016,Arkansas,AR,Conway,Donald Trump,republican,4849.0,7927,"Arkansas, Conway"
"Arkansas, Craighead",2016,Arkansas,AR,Craighead,Hillary Clinton,democrat,10538.0,35573,"Arkansas, Craighead"
"Arkansas, Craighead",2016,Arkansas,AR,Craighead,Donald Trump,republican,22892.0,35573,"Arkansas, Craighead"
"Arkansas, Crawford",2016,Arkansas,AR,Crawford,Hillary Clinton,democrat,4488.0,22450,"Arkansas, Crawford"
"Arkansas, Crawford",2016,Arkansas,AR,Crawford,Donald Trump,republican,16686.0,22450,"Arkansas, Crawford"
"Arkansas, Crittenden",2016,Arkansas,AR,Crittenden,Hillary Clinton,democrat,8410.0,15952,"Arkansas, Crittenden"
"Arkansas, Crittenden",2016,Arkansas,AR,Crittenden,Donald Trump,republican,6964.0,15952,"Arkansas, Crittenden"
"Arkansas, Cross",2016,Arkansas,AR,Cross,Hillary Clinton,democrat,1999.0,6874,"Arkansas, Cross"
"Arkansas, Cross",2016,Arkansas,AR,Cross,Donald Trump,republican,4584.0,6874,"Arkansas, Cross"
"Arkansas, Dallas",2016,Arkansas,AR,Dallas,Hillary Clinton,democrat,1165.0,2771,"Arkansas, Dallas"
"Arkansas, Dallas",2016,Arkansas,AR,Dallas,Donald Trump,republican,1509.0,2771,"Arkansas, Dallas"
"Arkansas, Desha",2016,Arkansas,AR,Desha,Hillary Clinton,democrat,2228.0,4257,"Arkansas, Desha"
"Arkansas, Desha",2016,Arkansas,AR,Desha,Donald Trump,republican,1919.0,4257,"Arkansas, Desha"
"Arkansas, Drew",2016,Arkansas,AR,Drew,Hillary Clinton,democrat,2365.0,6595,"Arkansas, Drew"
"Arkansas, Drew",2016,Arkansas,AR,Drew,Donald Trump,republican,3968.0,6595,"Arkansas, Drew"
"Arkansas, Faulkner",2016,Arkansas,AR,Faulkner,Hillary Clinton,democrat,14629.0,47527,"Arkansas, Faulkner"
"Arkansas, Faulkner",2016,Arkansas,AR,Faulkner,Donald Trump,republican,29346.0,47527,"Arkansas, Faulkner"
"Arkansas, Franklin",2016,Arkansas,AR,Franklin,Hillary Clinton,democrat,1376.0,6770,"Arkansas, Franklin"
"Arkansas, Franklin",2016,Arkansas,AR,Franklin,Donald Trump,republican,5039.0,6770,"Arkansas, Franklin"
"Arkansas, Fulton",2016,Arkansas,AR,Fulton,Hillary Clinton,democrat,1067.0,4772,"Arkansas, Fulton"
"Arkansas, Fulton",2016,Arkansas,AR,Fulton,Donald Trump,republican,3471.0,4772,"Arkansas, Fulton"
"Arkansas, Garland",2016,Arkansas,AR,Garland,Hillary Clinton,democrat,12311.0,40805,"Arkansas, Garland"
"Arkansas, Garland",2016,Arkansas,AR,Garland,Donald Trump,republican,26087.0,40805,"Arkansas, Garland"
"Arkansas, Grant",2016,Arkansas,AR,Grant,Hillary Clinton,democrat,1373.0,7445,"Arkansas, Grant"
"Arkansas, Grant",2016,Arkansas,AR,Grant,Donald Trump,republican,5725.0,7445,"Arkansas, Grant"
"Arkansas, Greene",2016,Arkansas,AR,Greene,Hillary Clinton,democrat,3071.0,14600,"Arkansas, Greene"
"Arkansas, Greene",2016,Arkansas,AR,Greene,Donald Trump,republican,10720.0,14600,"Arkansas, Greene"
"Arkansas, Hempstead",2016,Arkansas,AR,Hempstead,Hillary Clinton,democrat,2377.0,7049,"Arkansas, Hempstead"
"Arkansas, Hempstead",2016,Arkansas,AR,Hempstead,Donald Trump,republican,4401.0,7049,"Arkansas, Hempstead"
"Arkansas, Hot Spring",2016,Arkansas,AR,Hot Spring,Hillary Clinton,democrat,3149.0,11944,"Arkansas, Hot Spring"
"Arkansas, Hot Spring",2016,Arkansas,AR,Hot Spring,Donald Trump,republican,8172.0,11944,"Arkansas, Hot Spring"
