Location,Total_Votes_2016,2016_republican_votes,2016_democrat_votes,State_Code
"Georgia, Bartow",39550,29911.0,8212.0,GA
"Georgia, Ben Hill",5936,3739.0,2101.0,GA
"Georgia, Berrien",6590,5422.0,1047.0,GA
"Georgia, Bibb",62596,24043.0,36787.0,GA
"Georgia, Bleckley",4974,3719.0,1101.0,GA
"Georgia, Brantley",6301,5567.0,619.0,GA
"Georgia, Brooks",6336,3701.0,2528.0,GA
"Georgia, Bryan",15173,10529.0,4014.0,GA
"Georgia, Bulloch",25316,15097.0,9261.0,GA
"Georgia, Burke",9351,4491.0,4731.0,GA
"Georgia, Butts",9514,6717.0,2566.0,GA
"Georgia, Calhoun",2025,830.0,1179.0,GA
"Georgia, Camden",18901,12310.0,5930.0,GA
"Georgia, Candler",3763,2664.0,1026.0,GA
"Georgia, Carroll",44121,30029.0,12464.0,GA
"Georgia, Catoosa",26757,20876.0,4771.0,GA
"Georgia, Charlton",4016,2951.0,1004.0,GA
"Georgia, Chatham",112142,45688.0,62290.0,GA
"Georgia, Chattahoochee",1390,751.0,594.0,GA
"Georgia, Chattooga",8252,6462.0,1613.0,GA
"Georgia, Cherokee",112043,80649.0,25231.0,GA
"Georgia, Clarke",44976,12717.0,29603.0,GA
"Georgia, Clay",1273,566.0,697.0,GA
"Georgia, Clayton",92859,12645.0,78220.0,GA
"Georgia, Clinch",2455,1727.0,686.0,GA
"Georgia, Cobb",330819,152912.0,160121.0,GA
"Georgia, Coffee",13915,9588.0,4094.0,GA
"Georgia, Colquitt",13624,9898.0,3463.0,GA
"Georgia, Columbia",64743,43085.0,18887.0,GA
"Georgia, Cook",6057,4176.0,1753.0,GA
"Georgia, Coweta",61745,42533.0,16583.0,GA
"Georgia, Crawford",5176,3635.0,1421.0,GA
"Georgia, Crisp",7512,4549.0,2837.0,GA
"Georgia, Dade",6242,5051.0,965.0,GA
"Georgia, Dawson",11765,9900.0,1448.0,GA
"Georgia, DeKalb",314757,51468.0,251370.0,GA
"Georgia, Decatur",10286,6020.0,4124.0,GA
"Georgia, Dodge",7009,5021.0,1839.0,GA
"Georgia, Dooly",3859,1951.0,1872.0,GA
"Georgia, Dougherty",34087,10232.0,23311.0,GA
"Georgia, Douglas",57738,24817.0,31005.0,GA
"Georgia, Early",4785,2552.0,2168.0,GA
"Georgia, Echols",1182,1007.0,156.0,GA
"Georgia, Effingham",23458,17874.0,4853.0,GA
"Georgia, Elbert",7987,5292.0,2539.0,GA
"Georgia, Emanuel",7860,5335.0,2435.0,GA
"Georgia, Evans",3613,2404.0,1130.0,GA
"Georgia, Fannin",11812,9632.0,1923.0,GA
"Georgia, Fayette",60913,35048.0,23284.0,GA
"Georgia, Floyd",34608,24114.0,9159.0,GA
"Georgia, Forsyth",98221,69851.0,23462.0,GA
"Georgia, Franklin",8502,7054.0,1243.0,GA
"Georgia, Fulton",431391,117783.0,297051.0,GA
"Georgia, Gilmer",12773,10477.0,1965.0,GA
